001 2 2 26112020 025.20 001 01
002 1 2 27112020 030.20 002 02
003 1 4 27112020 040.20 003 03
004 3 2 26112020 015.00 006 04
005 2 5 27122020 020.99 002 05
006 2 6 27122020 025.00 004 04
007 3 2 20122020 025.20 005 03
008 1 1 22112021 026.20 002 02
009 2 3 23112020 005.20 001 01
010 1 3 24112020 035.20 003 02
012 3 4 24112020 022.20 003 03
013 2 2 25112020 023.20 004 04
014 1 1 25112020 024.20 001 05
015 1 2 25112020 025.20 002 06
016 3 2 02112020 026.20 006 07
017 2 8 04112020 027.20 006 08
018 3 9 01012020 028.20 005 09
019 1 1 02022020 029.20 001 10
020 3 5 31122020 029.99 002 11
